x,y,class_2017,class_2018,class_2019,class_2020,class_2021,class_2022,class_2023
175.0866183,-41.14996974,255,255,255,255,255,255,255
175.0867439,-41.14996974,255,255,255,255,255,255,255
175.0868695,-41.14996974,11,11,11,11,11,11,11
175.086995,-41.14996974,11,11,11,11,11,11,11
175.0871206,-41.14996974,11,11,11,11,11,11,11
175.0872462,-41.14996974,11,11,11,11,11,11,11
175.0873718,-41.14996974,11,11,11,11,11,11,11
175.0874974,-41.14996974,11,11,11,11,11,11,11
175.087623,-41.14996974,11,11,11,11,11,11,11
175.0877486,-41.14996974,11,11,11,11,11,11,11
175.0878742,-41.14996974,11,11,11,11,11,11,11
175.0879998,-41.14996974,11,11,11,11,11,11,11
175.0881254,-41.14996974,11,11,11,11,11,11,11
175.0882509,-41.14996974,11,11,11,11,5,11,11
175.0883765,-41.14996974,11,11,11,11,5,11,11
175.0864927,-41.15005977,255,255,255,255,255,255,255
175.0866183,-41.15005977,255,255,255,255,255,255,255
175.0867439,-41.15005977,255,255,255,255,255,255,255
175.0868695,-41.15005977,11,11,11,11,11,11,11
175.086995,-41.15005977,11,11,11,11,11,11,11
175.0871206,-41.15005977,11,11,11,11,11,11,11
175.0872462,-41.15005977,11,11,11,11,11,11,11
175.0873718,-41.15005977,11,11,11,11,11,11,11
175.0874974,-41.15005977,11,11,11,11,11,11,11
175.087623,-41.15005977,11,11,11,11,5,11,11
175.0877486,-41.15005977,11,11,11,11,5,11,11
175.0878742,-41.15005977,11,11,11,11,11,11,11
175.0879998,-41.15005977,11,11,11,11,11,11,11
175.0881254,-41.15005977,11,11,11,11,11,11,11
175.0882509,-41.15005977,11,11,11,11,11,11,11
175.0883765,-41.15005977,11,11,11,11,5,11,11
175.0864927,-41.1501498,255,255,255,255,255,255,255
175.0866183,-41.1501498,255,255,255,255,255,255,255
175.0867439,-41.1501498,255,255,255,255,255,255,255
175.0868695,-41.1501498,11,11,11,11,11,11,11
175.086995,-41.1501498,11,11,11,11,11,11,11
175.0871206,-41.1501498,11,11,11,11,11,11,11
175.0872462,-41.1501498,11,11,11,11,11,11,11
175.0873718,-41.1501498,11,11,11,11,11,11,11
175.0874974,-41.1501498,11,11,11,11,5,11,11
175.087623,-41.1501498,11,11,11,11,5,11,11
175.0877486,-41.1501498,11,11,11,11,5,11,11
175.0878742,-41.1501498,11,11,11,11,11,11,11
175.0879998,-41.1501498,11,11,11,11,11,11,11
175.0881254,-41.1501498,11,11,11,11,11,11,11
175.0882509,-41.1501498,11,11,11,11,5,11,11
175.0883765,-41.1501498,11,11,11,11,5,11,11
175.0864927,-41.15023983,255,255,255,255,255,255,255
175.0866183,-41.15023983,255,255,255,255,255,255,255
175.0867439,-41.15023983,255,255,255,255,255,255,255
175.0868695,-41.15023983,11,11,11,11,11,11,11
175.086995,-41.15023983,11,11,11,11,11,11,11
175.0871206,-41.15023983,11,11,11,11,11,11,11
175.0872462,-41.15023983,11,11,11,11,11,11,11
175.0873718,-41.15023983,11,11,11,11,5,11,11
175.0874974,-41.15023983,11,11,2,11,5,11,11
175.087623,-41.15023983,11,11,11,11,5,11,11
175.0877486,-41.15023983,11,11,11,11,5,11,11
175.0878742,-41.15023983,11,11,11,11,5,11,11
175.0879998,-41.15023983,11,11,11,11,5,11,11
175.0881254,-41.15023983,11,11,11,11,5,11,11
175.0882509,-41.15023983,11,11,11,11,5,11,11
175.0883765,-41.15023983,11,11,11,11,5,11,11
175.0864927,-41.15032986,255,255,255,255,255,255,255
175.0866183,-41.15032986,255,255,255,255,255,255,255
175.0867439,-41.15032986,255,255,255,255,255,255,255
175.0868695,-41.15032986,11,11,11,11,11,11,11
175.086995,-41.15032986,11,11,11,11,11,11,11
175.0871206,-41.15032986,11,11,11,11,11,11,11
175.0872462,-41.15032986,11,11,11,11,11,11,11
175.0873718,-41.15032986,11,11,11,11,5,11,11
175.0874974,-41.15032986,11,11,11,11,5,11,11
175.087623,-41.15032986,11,11,11,11,5,11,11
175.0877486,-41.15032986,11,11,11,11,5,11,11
175.0878742,-41.15032986,11,11,11,11,5,11,11
175.0879998,-41.15032986,11,11,11,11,5,11,11
175.0881254,-41.15032986,11,11,11,11,5,11,11
175.0882509,-41.15032986,11,11,11,11,5,11,11
175.0883765,-41.15032986,11,11,11,11,5,11,11
175.0864927,-41.15041989,255,255,255,255,255,255,255
175.0866183,-41.15041989,255,255,255,255,255,255,255
175.0867439,-41.15041989,11,11,11,11,11,11,11
175.0868695,-41.15041989,11,11,11,11,11,11,11
175.086995,-41.15041989,11,11,11,11,11,11,11
175.0871206,-41.15041989,11,11,11,11,11,11,11
175.0872462,-41.15041989,11,11,11,11,11,11,11
175.0873718,-41.15041989,11,11,11,11,11,11,11
175.0874974,-41.15041989,11,11,11,11,11,11,11
175.087623,-41.15041989,11,11,11,11,11,11,11
175.0877486,-41.15041989,11,11,11,11,11,11,11
175.0878742,-41.15041989,11,11,11,11,5,11,11
175.0879998,-41.15041989,11,11,11,11,5,11,11
175.0881254,-41.15041989,11,11,11,11,5,11,11
175.0882509,-41.15041989,11,11,11,11,5,11,11
175.0883765,-41.15041989,11,11,11,11,5,11,11
175.0864927,-41.15050992,255,255,255,255,255,255,255
175.0866183,-41.15050992,255,255,255,255,255,255,255
175.0867439,-41.15050992,11,11,11,11,11,11,11
175.0868695,-41.15050992,11,11,11,11,11,11,11
175.086995,-41.15050992,11,11,11,11,11,11,11
175.0871206,-41.15050992,11,11,11,11,11,11,11
175.0872462,-41.15050992,11,11,11,11,11,11,11
175.0873718,-41.15050992,11,11,11,11,11,11,11
175.0874974,-41.15050992,11,11,11,11,11,11,11
175.087623,-41.15050992,11,11,11,11,11,11,11
175.0877486,-41.15050992,11,11,11,11,5,11,11
175.0878742,-41.15050992,11,11,11,11,5,11,11
175.0879998,-41.15050992,11,11,11,11,5,11,11
175.0881254,-41.15050992,11,11,11,11,5,11,11
175.0882509,-41.15050992,11,11,11,11,5,11,11
175.0883765,-41.15050992,11,11,11,11,5,5,11
175.0864927,-41.15059995,255,255,255,255,255,255,255
175.0866183,-41.15059995,11,11,11,11,11,11,11
175.0867439,-41.15059995,11,11,11,11,11,11,11
175.0868695,-41.15059995,11,11,11,11,11,11,11
175.086995,-41.15059995,11,11,11,11,11,11,11
175.0871206,-41.15059995,11,11,11,11,11,11,11
175.0872462,-41.15059995,11,11,11,11,11,11,11
175.0873718,-41.15059995,11,11,11,11,11,11,11
175.0874974,-41.15059995,11,11,11,11,11,11,11
175.087623,-41.15059995,11,11,11,11,11,11,11
175.0877486,-41.15059995,11,11,11,11,11,11,11
175.0878742,-41.15059995,11,11,11,11,5,11,11
175.0879998,-41.15059995,11,11,11,11,5,11,11
175.0881254,-41.15059995,11,11,11,11,5,5,11
175.0882509,-41.15059995,11,11,11,11,5,11,11
175.0883765,-41.15059995,255,255,255,255,255,255,255
175.0864927,-41.15068998,255,255,255,255,255,255,255
175.0866183,-41.15068998,11,11,11,11,11,11,11
175.0867439,-41.15068998,11,11,11,11,11,11,11
175.0868695,-41.15068998,11,11,11,11,11,11,11
175.086995,-41.15068998,11,11,11,11,11,11,11
175.0871206,-41.15068998,11,11,11,11,11,11,11
175.0872462,-41.15068998,11,11,11,11,11,11,11
175.0873718,-41.15068998,11,11,11,11,11,11,11
175.0874974,-41.15068998,11,11,11,11,11,11,11
175.087623,-41.15068998,11,11,11,11,11,11,11
175.0877486,-41.15068998,11,11,11,11,11,11,11
175.0878742,-41.15068998,11,11,11,11,5,11,11
175.0879998,-41.15068998,11,11,11,11,5,5,11
175.0881254,-41.15068998,11,11,11,11,5,5,11
175.0882509,-41.15068998,255,255,255,255,255,255,255
175.0883765,-41.15068998,255,255,255,255,255,255,255
175.0864927,-41.15078001,11,11,11,11,11,11,11
175.0866183,-41.15078001,11,11,11,11,11,11,11
175.0867439,-41.15078001,11,11,11,11,11,11,11
175.0868695,-41.15078001,11,11,11,11,11,11,11
175.086995,-41.15078001,11,11,11,11,11,11,11
175.0871206,-41.15078001,11,11,11,11,11,11,11
175.0872462,-41.15078001,11,11,11,11,11,11,11
175.0873718,-41.15078001,11,11,11,11,11,11,11
175.0874974,-41.15078001,11,11,11,11,11,11,11
175.087623,-41.15078001,11,11,11,11,11,11,11
175.0877486,-41.15078001,11,11,11,11,5,11,11
175.0878742,-41.15078001,11,11,11,11,5,11,11
175.0879998,-41.15078001,11,11,11,11,5,5,11
175.0881254,-41.15078001,11,11,11,11,5,11,11
175.0882509,-41.15078001,255,255,255,255,255,255,255
175.0883765,-41.15078001,255,255,255,255,255,255,255
175.0864927,-41.15087004,11,11,11,11,11,11,11
175.0866183,-41.15087004,11,11,11,11,11,11,11
175.0867439,-41.15087004,11,11,11,11,11,11,11
175.0868695,-41.15087004,11,11,11,11,11,11,11
175.086995,-41.15087004,11,11,11,11,11,11,11
175.0871206,-41.15087004,11,11,11,11,11,11,11
175.0872462,-41.15087004,11,11,11,11,11,11,11
175.0873718,-41.15087004,11,11,11,11,11,11,11
175.0874974,-41.15087004,11,11,11,11,11,11,11
175.087623,-41.15087004,11,11,11,11,11,11,11
175.0877486,-41.15087004,11,11,11,11,5,11,11
175.0878742,-41.15087004,11,11,11,11,5,11,11
175.0879998,-41.15087004,11,11,11,11,5,11,11
175.0881254,-41.15087004,255,255,255,255,255,255,255
175.0882509,-41.15087004,255,255,255,255,255,255,255
175.0883765,-41.15087004,255,255,255,255,255,255,255
175.0864927,-41.15096007,11,11,11,11,11,11,11
175.0866183,-41.15096007,11,11,11,11,11,11,11
175.0867439,-41.15096007,11,11,11,11,11,11,11
175.0868695,-41.15096007,11,11,11,11,11,11,11
175.086995,-41.15096007,11,11,11,11,11,11,11
175.0871206,-41.15096007,11,11,11,11,11,11,11
175.0872462,-41.15096007,11,11,11,11,11,11,11
175.0873718,-41.15096007,11,11,11,11,11,11,11
175.0874974,-41.15096007,11,11,11,11,11,11,11
175.087623,-41.15096007,11,11,11,11,11,11,11
175.0877486,-41.15096007,11,11,11,11,11,11,11
175.0878742,-41.15096007,11,11,11,11,11,11,11
175.0879998,-41.15096007,11,11,11,11,5,11,11
175.0881254,-41.15096007,255,255,255,255,255,255,255
175.0882509,-41.15096007,255,255,255,255,255,255,255
175.0883765,-41.15096007,255,255,255,255,255,255,255
175.0864927,-41.1510501,11,11,11,11,11,11,11
175.0866183,-41.1510501,11,11,11,11,11,11,11
175.0867439,-41.1510501,11,11,11,11,11,11,11
175.0868695,-41.1510501,11,11,11,11,11,11,11
175.086995,-41.1510501,11,11,11,11,11,11,11
175.0871206,-41.1510501,11,11,11,11,11,11,11
175.0872462,-41.1510501,11,11,11,11,11,11,11
175.0873718,-41.1510501,11,11,11,11,11,11,11
175.0874974,-41.1510501,11,11,11,11,11,11,11
175.087623,-41.1510501,11,11,11,11,11,11,11
175.0877486,-41.1510501,11,11,11,11,11,11,11
175.0878742,-41.1510501,11,11,11,11,11,11,11
175.0879998,-41.1510501,255,255,255,255,255,255,255
175.0881254,-41.1510501,255,255,255,255,255,255,255
175.0882509,-41.1510501,255,255,255,255,255,255,255
175.0883765,-41.1510501,255,255,255,255,255,255,255
175.0864927,-41.15114013,11,11,11,11,11,11,11
175.0866183,-41.15114013,11,11,11,11,11,11,11
175.0867439,-41.15114013,11,11,11,11,11,11,11
175.0868695,-41.15114013,11,11,11,11,11,11,11
175.086995,-41.15114013,11,11,11,11,11,11,11
175.0871206,-41.15114013,11,11,11,11,11,11,11
175.0872462,-41.15114013,11,11,11,11,11,11,11
175.0873718,-41.15114013,11,11,11,11,11,11,11
175.0874974,-41.15114013,11,11,11,11,11,11,11
175.087623,-41.15114013,11,11,11,11,11,11,11
175.0877486,-41.15114013,11,11,11,11,11,11,11
175.0878742,-41.15114013,11,11,11,11,11,11,11
175.0879998,-41.15114013,255,255,255,255,255,255,255
175.0881254,-41.15114013,255,255,255,255,255,255,255
175.0882509,-41.15114013,255,255,255,255,255,255,255
175.0883765,-41.15114013,255,255,255,255,255,255,255
175.0864927,-41.15123016,255,255,255,255,255,255,255
175.0866183,-41.15123016,11,11,11,11,11,11,11
175.0867439,-41.15123016,11,11,11,11,11,11,11
175.0868695,-41.15123016,11,11,11,11,11,11,11
175.086995,-41.15123016,11,11,11,11,11,11,11
175.0871206,-41.15123016,11,11,11,11,11,11,11
175.0872462,-41.15123016,11,11,11,11,11,11,11
175.0873718,-41.15123016,11,11,11,11,11,11,11
175.0874974,-41.15123016,11,11,11,11,11,11,11
175.087623,-41.15123016,11,11,11,11,11,11,11
175.0877486,-41.15123016,11,11,11,11,11,11,11
175.0878742,-41.15123016,255,255,255,255,255,255,255
175.0879998,-41.15123016,255,255,255,255,255,255,255
175.0881254,-41.15123016,255,255,255,255,255,255,255
175.0882509,-41.15123016,255,255,255,255,255,255,255
175.0883765,-41.15123016,255,255,255,255,255,255,255
175.0864927,-41.15132019,255,255,255,255,255,255,255
175.0866183,-41.15132019,11,11,11,11,11,11,11
175.0867439,-41.15132019,11,11,11,11,11,11,11
175.0868695,-41.15132019,11,11,11,11,11,11,11
175.086995,-41.15132019,11,11,11,11,11,11,11
175.0871206,-41.15132019,11,11,11,11,11,11,11
175.0872462,-41.15132019,11,11,11,11,11,11,11
175.0873718,-41.15132019,11,11,11,11,11,11,11
175.0874974,-41.15132019,11,11,11,11,11,11,11
175.087623,-41.15132019,11,11,11,11,11,11,11
175.0877486,-41.15132019,255,255,255,255,255,255,255
175.0878742,-41.15132019,255,255,255,255,255,255,255
175.0879998,-41.15132019,255,255,255,255,255,255,255
175.0881254,-41.15132019,255,255,255,255,255,255,255
175.0882509,-41.15132019,255,255,255,255,255,255,255
175.0883765,-41.15132019,255,255,255,255,255,255,255
175.0864927,-41.15141022,255,255,255,255,255,255,255
175.0866183,-41.15141022,11,11,11,11,11,11,11
175.0867439,-41.15141022,11,11,11,11,11,11,11
175.0868695,-41.15141022,11,11,11,11,11,11,11
175.086995,-41.15141022,11,11,11,11,11,11,11
175.0871206,-41.15141022,11,11,11,11,11,11,11
175.0872462,-41.15141022,11,11,11,11,11,11,11
175.0873718,-41.15141022,11,11,11,11,11,11,11
175.0874974,-41.15141022,11,11,11,11,11,11,11
175.087623,-41.15141022,255,255,255,255,255,255,255
175.0877486,-41.15141022,255,255,255,255,255,255,255
175.0878742,-41.15141022,255,255,255,255,255,255,255
175.0879998,-41.15141022,255,255,255,255,255,255,255
175.0881254,-41.15141022,255,255,255,255,255,255,255
175.0882509,-41.15141022,255,255,255,255,255,255,255
175.0883765,-41.15141022,255,255,255,255,255,255,255
175.0864927,-41.15150025,255,255,255,255,255,255,255
175.0866183,-41.15150025,11,11,11,11,11,11,11
175.0867439,-41.15150025,11,11,11,11,11,11,11
175.0868695,-41.15150025,11,11,11,11,11,11,11
175.086995,-41.15150025,11,11,11,11,11,11,11
175.0871206,-41.15150025,11,11,11,11,11,11,11
175.0872462,-41.15150025,11,11,11,11,11,11,11
175.0873718,-41.15150025,255,255,255,255,255,255,255
175.0874974,-41.15150025,255,255,255,255,255,255,255
175.087623,-41.15150025,255,255,255,255,255,255,255
175.0877486,-41.15150025,255,255,255,255,255,255,255
175.0878742,-41.15150025,255,255,255,255,255,255,255
175.0879998,-41.15150025,255,255,255,255,255,255,255
175.0881254,-41.15150025,255,255,255,255,255,255,255
175.0882509,-41.15150025,255,255,255,255,255,255,255
175.0883765,-41.15150025,255,255,255,255,255,255,255
175.0864927,-41.15159028,255,255,255,255,255,255,255
175.0866183,-41.15159028,255,255,255,255,255,255,255
175.0867439,-41.15159028,11,11,11,11,11,11,11
175.0868695,-41.15159028,11,11,11,11,11,11,11
175.086995,-41.15159028,11,11,11,11,11,11,11
175.0871206,-41.15159028,11,11,11,11,11,11,11
175.0872462,-41.15159028,255,255,255,255,255,255,255
175.0873718,-41.15159028,255,255,255,255,255,255,255
175.0874974,-41.15159028,255,255,255,255,255,255,255
175.087623,-41.15159028,255,255,255,255,255,255,255
175.0877486,-41.15159028,255,255,255,255,255,255,255
175.0878742,-41.15159028,255,255,255,255,255,255,255
175.0879998,-41.15159028,255,255,255,255,255,255,255
175.0881254,-41.15159028,255,255,255,255,255,255,255
175.0882509,-41.15159028,255,255,255,255,255,255,255
175.0883765,-41.15159028,255,255,255,255,255,255,255
175.0864927,-41.15168031,255,255,255,255,255,255,255
175.0866183,-41.15168031,255,255,255,255,255,255,255
175.0867439,-41.15168031,11,11,11,11,11,11,11
175.0868695,-41.15168031,11,11,11,11,11,11,11
175.086995,-41.15168031,255,255,255,255,255,255,255
175.0871206,-41.15168031,255,255,255,255,255,255,255
175.0872462,-41.15168031,255,255,255,255,255,255,255
175.0873718,-41.15168031,255,255,255,255,255,255,255
175.0874974,-41.15168031,255,255,255,255,255,255,255
175.087623,-41.15168031,255,255,255,255,255,255,255
175.0877486,-41.15168031,255,255,255,255,255,255,255
175.0878742,-41.15168031,255,255,255,255,255,255,255
175.0879998,-41.15168031,255,255,255,255,255,255,255
175.0881254,-41.15168031,255,255,255,255,255,255,255
175.0882509,-41.15168031,255,255,255,255,255,255,255
175.0883765,-41.15168031,255,255,255,255,255,255,255
