x,y,forest_type_2020
175.0865447,-41.14827482,255
175.0866345,-41.14827482,255
175.0867244,-41.14827482,255
175.0868142,-41.14827482,255
175.086904,-41.14827482,255
175.0869939,-41.14827482,255
175.0870837,-41.14827482,0
175.0871735,-41.14827482,0
175.0872633,-41.14827482,0
175.0873532,-41.14827482,0
175.087443,-41.14827482,0
175.0875328,-41.14827482,0
175.0876227,-41.14827482,0
175.0877125,-41.14827482,0
175.0878023,-41.14827482,0
175.0878922,-41.14827482,0
175.087982,-41.14827482,0
175.0880718,-41.14827482,255
175.0881617,-41.14827482,255
175.0882515,-41.14827482,255
175.0883413,-41.14827482,255
175.0884312,-41.14827482,255
175.0865447,-41.14836465,255
175.0866345,-41.14836465,255
175.0867244,-41.14836465,255
175.0868142,-41.14836465,255
175.086904,-41.14836465,255
175.0869939,-41.14836465,255
175.0870837,-41.14836465,0
175.0871735,-41.14836465,0
175.0872633,-41.14836465,0
175.0873532,-41.14836465,0
175.087443,-41.14836465,0
175.0875328,-41.14836465,0
175.0876227,-41.14836465,0
175.0877125,-41.14836465,0
175.0878023,-41.14836465,0
175.0878922,-41.14836465,0
175.087982,-41.14836465,0
175.0880718,-41.14836465,255
175.0881617,-41.14836465,255
175.0882515,-41.14836465,255
175.0883413,-41.14836465,255
175.0884312,-41.14836465,255
175.0865447,-41.14845448,255
175.0866345,-41.14845448,255
175.0867244,-41.14845448,255
175.0868142,-41.14845448,255
175.086904,-41.14845448,255
175.0869939,-41.14845448,0
175.0870837,-41.14845448,0
175.0871735,-41.14845448,0
175.0872633,-41.14845448,0
175.0873532,-41.14845448,0
175.087443,-41.14845448,0
175.0875328,-41.14845448,0
175.0876227,-41.14845448,0
175.0877125,-41.14845448,0
175.0878023,-41.14845448,0
175.0878922,-41.14845448,0
175.087982,-41.14845448,255
175.0880718,-41.14845448,255
175.0881617,-41.14845448,255
175.0882515,-41.14845448,255
175.0883413,-41.14845448,255
175.0884312,-41.14845448,255
175.0865447,-41.14854431,255
175.0866345,-41.14854431,255
175.0867244,-41.14854431,255
175.0868142,-41.14854431,255
175.086904,-41.14854431,255
175.0869939,-41.14854431,0
175.0870837,-41.14854431,0
175.0871735,-41.14854431,0
175.0872633,-41.14854431,0
175.0873532,-41.14854431,0
175.087443,-41.14854431,0
175.0875328,-41.14854431,0
175.0876227,-41.14854431,0
175.0877125,-41.14854431,0
175.0878023,-41.14854431,0
175.0878922,-41.14854431,255
175.087982,-41.14854431,255
175.0880718,-41.14854431,255
175.0881617,-41.14854431,255
175.0882515,-41.14854431,255
175.0883413,-41.14854431,255
175.0884312,-41.14854431,255
175.0865447,-41.14863415,255
175.0866345,-41.14863415,255
175.0867244,-41.14863415,255
175.0868142,-41.14863415,255
175.086904,-41.14863415,255
175.0869939,-41.14863415,0
175.0870837,-41.14863415,0
175.0871735,-41.14863415,0
175.0872633,-41.14863415,0
175.0873532,-41.14863415,0
175.087443,-41.14863415,0
175.0875328,-41.14863415,0
175.0876227,-41.14863415,0
175.0877125,-41.14863415,0
175.0878023,-41.14863415,0
175.0878922,-41.14863415,255
175.087982,-41.14863415,255
175.0880718,-41.14863415,255
175.0881617,-41.14863415,255
175.0882515,-41.14863415,255
175.0883413,-41.14863415,255
175.0884312,-41.14863415,255
175.0865447,-41.14872398,255
175.0866345,-41.14872398,255
175.0867244,-41.14872398,255
175.0868142,-41.14872398,255
175.086904,-41.14872398,255
175.0869939,-41.14872398,0
175.0870837,-41.14872398,0
175.0871735,-41.14872398,0
175.0872633,-41.14872398,0
175.0873532,-41.14872398,0
175.087443,-41.14872398,0
175.0875328,-41.14872398,0
175.0876227,-41.14872398,0
175.0877125,-41.14872398,0
175.0878023,-41.14872398,255
175.0878922,-41.14872398,255
175.087982,-41.14872398,255
175.0880718,-41.14872398,255
175.0881617,-41.14872398,255
175.0882515,-41.14872398,255
175.0883413,-41.14872398,255
175.0884312,-41.14872398,255
175.0865447,-41.14881381,255
175.0866345,-41.14881381,255
175.0867244,-41.14881381,255
175.0868142,-41.14881381,255
175.086904,-41.14881381,0
175.0869939,-41.14881381,0
175.0870837,-41.14881381,0
175.0871735,-41.14881381,0
175.0872633,-41.14881381,0
175.0873532,-41.14881381,0
175.087443,-41.14881381,0
175.0875328,-41.14881381,0
175.0876227,-41.14881381,0
175.0877125,-41.14881381,255
175.0878023,-41.14881381,255
175.0878922,-41.14881381,255
175.087982,-41.14881381,255
175.0880718,-41.14881381,255
175.0881617,-41.14881381,255
175.0882515,-41.14881381,255
175.0883413,-41.14881381,255
175.0884312,-41.14881381,255
175.0865447,-41.14890364,255
175.0866345,-41.14890364,255
175.0867244,-41.14890364,255
175.0868142,-41.14890364,255
175.086904,-41.14890364,0
175.0869939,-41.14890364,0
175.0870837,-41.14890364,0
175.0871735,-41.14890364,0
175.0872633,-41.14890364,0
175.0873532,-41.14890364,0
175.087443,-41.14890364,0
175.0875328,-41.14890364,0
175.0876227,-41.14890364,0
175.0877125,-41.14890364,255
175.0878023,-41.14890364,255
175.0878922,-41.14890364,255
175.087982,-41.14890364,255
175.0880718,-41.14890364,255
175.0881617,-41.14890364,255
175.0882515,-41.14890364,255
175.0883413,-41.14890364,255
175.0884312,-41.14890364,255
175.0865447,-41.14899347,255
175.0866345,-41.14899347,255
175.0867244,-41.14899347,255
175.0868142,-41.14899347,255
175.086904,-41.14899347,0
175.0869939,-41.14899347,0
175.0870837,-41.14899347,0
175.0871735,-41.14899347,0
175.0872633,-41.14899347,0
175.0873532,-41.14899347,0
175.087443,-41.14899347,0
175.0875328,-41.14899347,0
175.0876227,-41.14899347,0
175.0877125,-41.14899347,255
175.0878023,-41.14899347,255
175.0878922,-41.14899347,255
175.087982,-41.14899347,255
175.0880718,-41.14899347,255
175.0881617,-41.14899347,255
175.0882515,-41.14899347,255
175.0883413,-41.14899347,255
175.0884312,-41.14899347,255
175.0865447,-41.1490833,255
175.0866345,-41.1490833,255
175.0867244,-41.1490833,255
175.0868142,-41.1490833,255
175.086904,-41.1490833,0
175.0869939,-41.1490833,0
175.0870837,-41.1490833,0
175.0871735,-41.1490833,0
175.0872633,-41.1490833,0
175.0873532,-41.1490833,0
175.087443,-41.1490833,0
175.0875328,-41.1490833,0
175.0876227,-41.1490833,0
175.0877125,-41.1490833,255
175.0878023,-41.1490833,255
175.0878922,-41.1490833,255
175.087982,-41.1490833,255
175.0880718,-41.1490833,255
175.0881617,-41.1490833,255
175.0882515,-41.1490833,255
175.0883413,-41.1490833,255
175.0884312,-41.1490833,255
175.0865447,-41.14917314,255
175.0866345,-41.14917314,255
175.0867244,-41.14917314,255
175.0868142,-41.14917314,255
175.086904,-41.14917314,0
175.0869939,-41.14917314,0
175.0870837,-41.14917314,0
175.0871735,-41.14917314,0
175.0872633,-41.14917314,0
175.0873532,-41.14917314,0
175.087443,-41.14917314,0
175.0875328,-41.14917314,0
175.0876227,-41.14917314,0
175.0877125,-41.14917314,255
175.0878023,-41.14917314,255
175.0878922,-41.14917314,255
175.087982,-41.14917314,255
175.0880718,-41.14917314,255
175.0881617,-41.14917314,255
175.0882515,-41.14917314,255
175.0883413,-41.14917314,255
175.0884312,-41.14917314,255
175.0865447,-41.14926297,255
175.0866345,-41.14926297,255
175.0867244,-41.14926297,255
175.0868142,-41.14926297,255
175.086904,-41.14926297,0
175.0869939,-41.14926297,0
175.0870837,-41.14926297,0
175.0871735,-41.14926297,0
175.0872633,-41.14926297,0
175.0873532,-41.14926297,0
175.087443,-41.14926297,0
175.0875328,-41.14926297,0
175.0876227,-41.14926297,0
175.0877125,-41.14926297,255
175.0878023,-41.14926297,255
175.0878922,-41.14926297,255
175.087982,-41.14926297,255
175.0880718,-41.14926297,255
175.0881617,-41.14926297,255
175.0882515,-41.14926297,255
175.0883413,-41.14926297,255
175.0884312,-41.14926297,255
175.0865447,-41.1493528,255
175.0866345,-41.1493528,255
175.0867244,-41.1493528,255
175.0868142,-41.1493528,255
175.086904,-41.1493528,0
175.0869939,-41.1493528,0
175.0870837,-41.1493528,0
175.0871735,-41.1493528,0
175.0872633,-41.1493528,0
175.0873532,-41.1493528,0
175.087443,-41.1493528,0
175.0875328,-41.1493528,0
175.0876227,-41.1493528,0
175.0877125,-41.1493528,255
175.0878023,-41.1493528,255
175.0878922,-41.1493528,255
175.087982,-41.1493528,255
175.0880718,-41.1493528,255
175.0881617,-41.1493528,255
175.0882515,-41.1493528,255
175.0883413,-41.1493528,255
175.0884312,-41.1493528,255
175.0865447,-41.14944263,255
175.0866345,-41.14944263,255
175.0867244,-41.14944263,255
175.0868142,-41.14944263,255
175.086904,-41.14944263,0
175.0869939,-41.14944263,0
175.0870837,-41.14944263,0
175.0871735,-41.14944263,0
175.0872633,-41.14944263,0
175.0873532,-41.14944263,0
175.087443,-41.14944263,0
175.0875328,-41.14944263,0
175.0876227,-41.14944263,0
175.0877125,-41.14944263,255
175.0878023,-41.14944263,255
175.0878922,-41.14944263,255
175.087982,-41.14944263,255
175.0880718,-41.14944263,255
175.0881617,-41.14944263,255
175.0882515,-41.14944263,255
175.0883413,-41.14944263,255
175.0884312,-41.14944263,255
175.0865447,-41.14953246,255
175.0866345,-41.14953246,255
175.0867244,-41.14953246,255
175.0868142,-41.14953246,255
175.086904,-41.14953246,0
175.0869939,-41.14953246,0
175.0870837,-41.14953246,0
175.0871735,-41.14953246,0
175.0872633,-41.14953246,0
175.0873532,-41.14953246,0
175.087443,-41.14953246,0
175.0875328,-41.14953246,0
175.0876227,-41.14953246,0
175.0877125,-41.14953246,0
175.0878023,-41.14953246,255
175.0878922,-41.14953246,255
175.087982,-41.14953246,255
175.0880718,-41.14953246,255
175.0881617,-41.14953246,255
175.0882515,-41.14953246,255
175.0883413,-41.14953246,255
175.0884312,-41.14953246,255
175.0865447,-41.14962229,255
175.0866345,-41.14962229,255
175.0867244,-41.14962229,255
175.0868142,-41.14962229,255
175.086904,-41.14962229,0
175.0869939,-41.14962229,0
175.0870837,-41.14962229,0
175.0871735,-41.14962229,0
175.0872633,-41.14962229,0
175.0873532,-41.14962229,0
175.087443,-41.14962229,0
175.0875328,-41.14962229,0
175.0876227,-41.14962229,0
175.0877125,-41.14962229,0
175.0878023,-41.14962229,0
175.0878922,-41.14962229,255
175.087982,-41.14962229,255
175.0880718,-41.14962229,255
175.0881617,-41.14962229,255
175.0882515,-41.14962229,255
175.0883413,-41.14962229,255
175.0884312,-41.14962229,255
175.0865447,-41.14971212,255
175.0866345,-41.14971212,255
175.0867244,-41.14971212,255
175.0868142,-41.14971212,255
175.086904,-41.14971212,0
175.0869939,-41.14971212,0
175.0870837,-41.14971212,0
175.0871735,-41.14971212,0
175.0872633,-41.14971212,0
175.0873532,-41.14971212,0
175.087443,-41.14971212,0
175.0875328,-41.14971212,0
175.0876227,-41.14971212,0
175.0877125,-41.14971212,0
175.0878023,-41.14971212,0
175.0878922,-41.14971212,0
175.087982,-41.14971212,255
175.0880718,-41.14971212,255
175.0881617,-41.14971212,255
175.0882515,-41.14971212,255
175.0883413,-41.14971212,255
175.0884312,-41.14971212,255
175.0865447,-41.14980196,255
175.0866345,-41.14980196,255
175.0867244,-41.14980196,255
175.0868142,-41.14980196,255
175.086904,-41.14980196,0
175.0869939,-41.14980196,0
175.0870837,-41.14980196,0
175.0871735,-41.14980196,0
175.0872633,-41.14980196,0
175.0873532,-41.14980196,0
175.087443,-41.14980196,0
175.0875328,-41.14980196,0
175.0876227,-41.14980196,0
175.0877125,-41.14980196,0
175.0878023,-41.14980196,1
175.0878922,-41.14980196,1
175.087982,-41.14980196,1
175.0880718,-41.14980196,0
175.0881617,-41.14980196,255
175.0882515,-41.14980196,255
175.0883413,-41.14980196,255
175.0884312,-41.14980196,255
175.0865447,-41.14989179,255
175.0866345,-41.14989179,255
175.0867244,-41.14989179,255
175.0868142,-41.14989179,255
175.086904,-41.14989179,0
175.0869939,-41.14989179,0
175.0870837,-41.14989179,0
175.0871735,-41.14989179,0
175.0872633,-41.14989179,0
175.0873532,-41.14989179,0
175.087443,-41.14989179,0
175.0875328,-41.14989179,0
175.0876227,-41.14989179,0
175.0877125,-41.14989179,1
175.0878023,-41.14989179,1
175.0878922,-41.14989179,1
175.087982,-41.14989179,1
175.0880718,-41.14989179,0
175.0881617,-41.14989179,0
175.0882515,-41.14989179,255
175.0883413,-41.14989179,255
175.0884312,-41.14989179,255
175.0865447,-41.14998162,255
175.0866345,-41.14998162,255
175.0867244,-41.14998162,255
175.0868142,-41.14998162,255
175.086904,-41.14998162,0
175.0869939,-41.14998162,0
175.0870837,-41.14998162,0
175.0871735,-41.14998162,0
175.0872633,-41.14998162,0
175.0873532,-41.14998162,0
175.087443,-41.14998162,0
175.0875328,-41.14998162,0
175.0876227,-41.14998162,0
175.0877125,-41.14998162,1
175.0878023,-41.14998162,1
175.0878922,-41.14998162,1
175.087982,-41.14998162,1
175.0880718,-41.14998162,1
175.0881617,-41.14998162,0
175.0882515,-41.14998162,0
175.0883413,-41.14998162,0
175.0884312,-41.14998162,255
175.0865447,-41.15007145,255
175.0866345,-41.15007145,255
175.0867244,-41.15007145,255
175.0868142,-41.15007145,255
175.086904,-41.15007145,0
175.0869939,-41.15007145,0
175.0870837,-41.15007145,0
175.0871735,-41.15007145,0
175.0872633,-41.15007145,0
175.0873532,-41.15007145,0
175.087443,-41.15007145,0
175.0875328,-41.15007145,0
175.0876227,-41.15007145,1
175.0877125,-41.15007145,1
175.0878023,-41.15007145,1
175.0878922,-41.15007145,1
175.087982,-41.15007145,1
175.0880718,-41.15007145,1
175.0881617,-41.15007145,0
175.0882515,-41.15007145,0
175.0883413,-41.15007145,0
175.0884312,-41.15007145,0
175.0865447,-41.15016128,255
175.0866345,-41.15016128,255
175.0867244,-41.15016128,255
175.0868142,-41.15016128,255
175.086904,-41.15016128,0
175.0869939,-41.15016128,0
175.0870837,-41.15016128,0
175.0871735,-41.15016128,0
175.0872633,-41.15016128,0
175.0873532,-41.15016128,0
175.087443,-41.15016128,0
175.0875328,-41.15016128,0
175.0876227,-41.15016128,1
175.0877125,-41.15016128,1
175.0878023,-41.15016128,1
175.0878922,-41.15016128,1
175.087982,-41.15016128,1
175.0880718,-41.15016128,1
175.0881617,-41.15016128,0
175.0882515,-41.15016128,0
175.0883413,-41.15016128,0
175.0884312,-41.15016128,0
175.0865447,-41.15025111,255
175.0866345,-41.15025111,255
175.0867244,-41.15025111,255
175.0868142,-41.15025111,255
175.086904,-41.15025111,0
175.0869939,-41.15025111,0
175.0870837,-41.15025111,0
175.0871735,-41.15025111,0
175.0872633,-41.15025111,0
175.0873532,-41.15025111,0
175.087443,-41.15025111,0
175.0875328,-41.15025111,0
175.0876227,-41.15025111,1
175.0877125,-41.15025111,1
175.0878023,-41.15025111,1
175.0878922,-41.15025111,1
175.087982,-41.15025111,1
175.0880718,-41.15025111,1
175.0881617,-41.15025111,0
175.0882515,-41.15025111,0
175.0883413,-41.15025111,0
175.0884312,-41.15025111,0
175.0865447,-41.15034095,255
175.0866345,-41.15034095,255
175.0867244,-41.15034095,255
175.0868142,-41.15034095,0
175.086904,-41.15034095,0
175.0869939,-41.15034095,0
175.0870837,-41.15034095,0
175.0871735,-41.15034095,0
175.0872633,-41.15034095,0
175.0873532,-41.15034095,0
175.087443,-41.15034095,0
175.0875328,-41.15034095,1
175.0876227,-41.15034095,1
175.0877125,-41.15034095,1
175.0878023,-41.15034095,1
175.0878922,-41.15034095,1
175.087982,-41.15034095,1
175.0880718,-41.15034095,1
175.0881617,-41.15034095,0
175.0882515,-41.15034095,0
175.0883413,-41.15034095,0
175.0884312,-41.15034095,0
175.0865447,-41.15043078,255
175.0866345,-41.15043078,255
175.0867244,-41.15043078,255
175.0868142,-41.15043078,0
175.086904,-41.15043078,0
175.0869939,-41.15043078,0
175.0870837,-41.15043078,0
175.0871735,-41.15043078,0
175.0872633,-41.15043078,0
175.0873532,-41.15043078,1
175.087443,-41.15043078,1
175.0875328,-41.15043078,1
175.0876227,-41.15043078,1
175.0877125,-41.15043078,1
175.0878023,-41.15043078,1
175.0878922,-41.15043078,1
175.087982,-41.15043078,1
175.0880718,-41.15043078,1
175.0881617,-41.15043078,0
175.0882515,-41.15043078,0
175.0883413,-41.15043078,0
175.0884312,-41.15043078,255
175.0865447,-41.15052061,255
175.0866345,-41.15052061,255
175.0867244,-41.15052061,0
175.0868142,-41.15052061,0
175.086904,-41.15052061,0
175.0869939,-41.15052061,0
175.0870837,-41.15052061,0
175.0871735,-41.15052061,0
175.0872633,-41.15052061,1
175.0873532,-41.15052061,1
175.087443,-41.15052061,1
175.0875328,-41.15052061,1
175.0876227,-41.15052061,1
175.0877125,-41.15052061,1
175.0878023,-41.15052061,1
175.0878922,-41.15052061,1
175.087982,-41.15052061,0
175.0880718,-41.15052061,0
175.0881617,-41.15052061,0
175.0882515,-41.15052061,0
175.0883413,-41.15052061,0
175.0884312,-41.15052061,255
175.0865447,-41.15061044,255
175.0866345,-41.15061044,0
175.0867244,-41.15061044,0
175.0868142,-41.15061044,0
175.086904,-41.15061044,0
175.0869939,-41.15061044,0
175.0870837,-41.15061044,0
175.0871735,-41.15061044,1
175.0872633,-41.15061044,1
175.0873532,-41.15061044,1
175.087443,-41.15061044,1
175.0875328,-41.15061044,1
175.0876227,-41.15061044,1
175.0877125,-41.15061044,1
175.0878023,-41.15061044,1
175.0878922,-41.15061044,1
175.087982,-41.15061044,0
175.0880718,-41.15061044,0
175.0881617,-41.15061044,0
175.0882515,-41.15061044,0
175.0883413,-41.15061044,255
175.0884312,-41.15061044,255
175.0865447,-41.15070027,255
175.0866345,-41.15070027,0
175.0867244,-41.15070027,0
175.0868142,-41.15070027,0
175.086904,-41.15070027,0
175.0869939,-41.15070027,0
175.0870837,-41.15070027,0
175.0871735,-41.15070027,1
175.0872633,-41.15070027,1
175.0873532,-41.15070027,1
175.087443,-41.15070027,1
175.0875328,-41.15070027,1
175.0876227,-41.15070027,1
175.0877125,-41.15070027,1
175.0878023,-41.15070027,1
175.0878922,-41.15070027,0
175.087982,-41.15070027,0
175.0880718,-41.15070027,0
175.0881617,-41.15070027,0
175.0882515,-41.15070027,255
175.0883413,-41.15070027,255
175.0884312,-41.15070027,255
175.0865447,-41.1507901,0
175.0866345,-41.1507901,0
175.0867244,-41.1507901,0
175.0868142,-41.1507901,0
175.086904,-41.1507901,0
175.0869939,-41.1507901,0
175.0870837,-41.1507901,0
175.0871735,-41.1507901,0
175.0872633,-41.1507901,0
175.0873532,-41.1507901,1
175.087443,-41.1507901,1
175.0875328,-41.1507901,1
175.0876227,-41.1507901,1
175.0877125,-41.1507901,1
175.0878023,-41.1507901,0
175.0878922,-41.1507901,0
175.087982,-41.1507901,0
175.0880718,-41.1507901,0
175.0881617,-41.1507901,255
175.0882515,-41.1507901,255
175.0883413,-41.1507901,255
175.0884312,-41.1507901,255
175.0865447,-41.15087993,0
175.0866345,-41.15087993,0
175.0867244,-41.15087993,0
175.0868142,-41.15087993,0
175.086904,-41.15087993,0
175.0869939,-41.15087993,0
175.0870837,-41.15087993,0
175.0871735,-41.15087993,0
175.0872633,-41.15087993,0
175.0873532,-41.15087993,0
175.087443,-41.15087993,1
175.0875328,-41.15087993,0
175.0876227,-41.15087993,0
175.0877125,-41.15087993,0
175.0878023,-41.15087993,0
175.0878922,-41.15087993,0
175.087982,-41.15087993,0
175.0880718,-41.15087993,0
175.0881617,-41.15087993,255
175.0882515,-41.15087993,255
175.0883413,-41.15087993,255
175.0884312,-41.15087993,255
175.0865447,-41.15096977,0
175.0866345,-41.15096977,0
175.0867244,-41.15096977,0
175.0868142,-41.15096977,0
175.086904,-41.15096977,0
175.0869939,-41.15096977,0
175.0870837,-41.15096977,0
175.0871735,-41.15096977,0
175.0872633,-41.15096977,0
175.0873532,-41.15096977,0
175.087443,-41.15096977,0
175.0875328,-41.15096977,0
175.0876227,-41.15096977,0
175.0877125,-41.15096977,0
175.0878023,-41.15096977,0
175.0878922,-41.15096977,0
175.087982,-41.15096977,0
175.0880718,-41.15096977,255
175.0881617,-41.15096977,255
175.0882515,-41.15096977,255
175.0883413,-41.15096977,255
175.0884312,-41.15096977,255
175.0865447,-41.1510596,0
175.0866345,-41.1510596,0
175.0867244,-41.1510596,0
175.0868142,-41.1510596,0
175.086904,-41.1510596,0
175.0869939,-41.1510596,0
175.0870837,-41.1510596,0
175.0871735,-41.1510596,0
175.0872633,-41.1510596,0
175.0873532,-41.1510596,0
175.087443,-41.1510596,0
175.0875328,-41.1510596,0
175.0876227,-41.1510596,0
175.0877125,-41.1510596,0
175.0878023,-41.1510596,0
175.0878922,-41.1510596,0
175.087982,-41.1510596,255
175.0880718,-41.1510596,255
175.0881617,-41.1510596,255
175.0882515,-41.1510596,255
175.0883413,-41.1510596,255
175.0884312,-41.1510596,255
175.0865447,-41.15114943,0
175.0866345,-41.15114943,0
175.0867244,-41.15114943,0
175.0868142,-41.15114943,0
175.086904,-41.15114943,0
175.0869939,-41.15114943,0
175.0870837,-41.15114943,0
175.0871735,-41.15114943,0
175.0872633,-41.15114943,0
175.0873532,-41.15114943,0
175.087443,-41.15114943,0
175.0875328,-41.15114943,0
175.0876227,-41.15114943,0
175.0877125,-41.15114943,0
175.0878023,-41.15114943,0
175.0878922,-41.15114943,255
175.087982,-41.15114943,255
175.0880718,-41.15114943,255
175.0881617,-41.15114943,255
175.0882515,-41.15114943,255
175.0883413,-41.15114943,255
175.0884312,-41.15114943,255
175.0865447,-41.15123926,0
175.0866345,-41.15123926,0
175.0867244,-41.15123926,0
175.0868142,-41.15123926,0
175.086904,-41.15123926,0
175.0869939,-41.15123926,0
175.0870837,-41.15123926,0
175.0871735,-41.15123926,0
175.0872633,-41.15123926,0
175.0873532,-41.15123926,0
175.087443,-41.15123926,0
175.0875328,-41.15123926,0
175.0876227,-41.15123926,0
175.0877125,-41.15123926,0
175.0878023,-41.15123926,0
175.0878922,-41.15123926,255
175.087982,-41.15123926,255
175.0880718,-41.15123926,255
175.0881617,-41.15123926,255
175.0882515,-41.15123926,255
175.0883413,-41.15123926,255
175.0884312,-41.15123926,255
175.0865447,-41.15132909,0
175.0866345,-41.15132909,0
175.0867244,-41.15132909,0
175.0868142,-41.15132909,0
175.086904,-41.15132909,0
175.0869939,-41.15132909,0
175.0870837,-41.15132909,0
175.0871735,-41.15132909,0
175.0872633,-41.15132909,0
175.0873532,-41.15132909,0
175.087443,-41.15132909,0
175.0875328,-41.15132909,0
175.0876227,-41.15132909,0
175.0877125,-41.15132909,255
175.0878023,-41.15132909,255
175.0878922,-41.15132909,255
175.087982,-41.15132909,255
175.0880718,-41.15132909,255
175.0881617,-41.15132909,255
175.0882515,-41.15132909,255
175.0883413,-41.15132909,255
175.0884312,-41.15132909,255
175.0865447,-41.15141892,255
175.0866345,-41.15141892,0
175.0867244,-41.15141892,0
175.0868142,-41.15141892,0
175.086904,-41.15141892,0
175.0869939,-41.15141892,0
175.0870837,-41.15141892,0
175.0871735,-41.15141892,0
175.0872633,-41.15141892,0
175.0873532,-41.15141892,0
175.087443,-41.15141892,0
175.0875328,-41.15141892,255
175.0876227,-41.15141892,255
175.0877125,-41.15141892,255
175.0878023,-41.15141892,255
175.0878922,-41.15141892,255
175.087982,-41.15141892,255
175.0880718,-41.15141892,255
175.0881617,-41.15141892,255
175.0882515,-41.15141892,255
175.0883413,-41.15141892,255
175.0884312,-41.15141892,255
175.0865447,-41.15150876,255
175.0866345,-41.15150876,0
175.0867244,-41.15150876,0
175.0868142,-41.15150876,0
175.086904,-41.15150876,0
175.0869939,-41.15150876,0
175.0870837,-41.15150876,0
175.0871735,-41.15150876,0
175.0872633,-41.15150876,0
175.0873532,-41.15150876,255
175.087443,-41.15150876,255
175.0875328,-41.15150876,255
175.0876227,-41.15150876,255
175.0877125,-41.15150876,255
175.0878023,-41.15150876,255
175.0878922,-41.15150876,255
175.087982,-41.15150876,255
175.0880718,-41.15150876,255
175.0881617,-41.15150876,255
175.0882515,-41.15150876,255
175.0883413,-41.15150876,255
175.0884312,-41.15150876,255
175.0865447,-41.15159859,255
175.0866345,-41.15159859,255
175.0867244,-41.15159859,0
175.0868142,-41.15159859,0
175.086904,-41.15159859,0
175.0869939,-41.15159859,0
175.0870837,-41.15159859,255
175.0871735,-41.15159859,255
175.0872633,-41.15159859,255
175.0873532,-41.15159859,255
175.087443,-41.15159859,255
175.0875328,-41.15159859,255
175.0876227,-41.15159859,255
175.0877125,-41.15159859,255
175.0878023,-41.15159859,255
175.0878922,-41.15159859,255
175.087982,-41.15159859,255
175.0880718,-41.15159859,255
175.0881617,-41.15159859,255
175.0882515,-41.15159859,255
175.0883413,-41.15159859,255
175.0884312,-41.15159859,255
175.0865447,-41.15168842,255
175.0866345,-41.15168842,255
175.0867244,-41.15168842,0
175.0868142,-41.15168842,0
175.086904,-41.15168842,255
175.0869939,-41.15168842,255
175.0870837,-41.15168842,255
175.0871735,-41.15168842,255
175.0872633,-41.15168842,255
175.0873532,-41.15168842,255
175.087443,-41.15168842,255
175.0875328,-41.15168842,255
175.0876227,-41.15168842,255
175.0877125,-41.15168842,255
175.0878023,-41.15168842,255
175.0878922,-41.15168842,255
175.087982,-41.15168842,255
175.0880718,-41.15168842,255
175.0881617,-41.15168842,255
175.0882515,-41.15168842,255
175.0883413,-41.15168842,255
175.0884312,-41.15168842,255
